job_title,company,location,preferred_qualifications,minimum_qualifications,url,source
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '4+ years of work experience in analytics, data querying languages such as SQL, scripting languages such as Python, and/or statistical mathematical software such as R (minimum of 2 years with a Ph.D.)', '4+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4133149645,LinkedIn
"Data Scientist, Product Analytics",Lensa,"San Francisco, CA","['Experience in collaborating with individuals and organizations', 'Experience working with large scale dataset', 'Internship experience in solving analytical problems using quantitative approaches']","[""Currently has or is pursuing a Bachelor's and/or Master’s degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta."", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', 'Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment', ""Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.""]",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-lensa-4188681637,LinkedIn
Machine Learning Engineer,TurbineOne,Geographically flexible for home-office,"['7+ years of full stack work experience', 'College degree/certifications in Computer Science or similar field', 'Knowledge of deep learning algorithm development and experience with ML experimentation', 'Experience with all or some of TensorFlow, PyTorch and Jax']","['High standard of ethics, grit, integrity and moral character', ""Ability and confidence to learn what's required to add functionality to the product, from the ML stack to the front end"", 'Deep curiosity about customer problems and technical solutions', 'Positive and solution-oriented mindset', 'Experience in a production software development environment (version control, automated testing, build tools)', ""Willingness to embrace the Startup Culture of moving fast, being insatiably curious, celebrating often, embracing uncertainty, and having a personal desire to improve other peoples' lives""]",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-turbineone-4119089828,LinkedIn
Research Scientist in Machine Learning and Natural Language Processing,Abridge,"San Francisco, New York, Pittsburgh","['High-impact publications at peer-reviewed AI conferences (e.g. *CL, NeurIPS, ICML, ICLR)', 'Significant real-world impact, as demonstrated through open source contributions and deployed technology']","['Strong research background, as demonstrated through papers and a graduate degree (MS or PhD) in Electrical Engineering, Computer Sciences, Mathematics, or equivalent experience', 'Strong programming skills with proven experience crafting, prototyping, and delivering machine learning solutions into production', 'Experience with deep learning libraries (e.g. PyTorch, Jax, Tensorflow) and platforms, multi-GPU training, and statistical analyses of observational and experimental data']",https://www.linkedin.com/jobs/view/machine-learning-scientist-nlp-all-levels-at-abridge-4179501766,LinkedIn
"Data Scientist, Senior—Enterprise DS & AI Org",Enexus Global Inc.,"Oakland, CA","['Experience building computer vision models', 'Experience with AWS technologies (S3, GroundTruth, Sagemaker)']","['Bachelor’s degree in Data Science, Machine Learning, Computer Science, Physics, Econometrics or Economics, Engineering, Mathematics, Applied Sciences, Statistics, or equivalent field', '4 years in data science (or 2 years, if possess master’s degree)', 'Competency in software engineering, statistics, and machine learning techniques as they apply to data science deployment', 'Hands-on and theoretical experience of data science/machine learning models and algorithms']",https://www.linkedin.com/jobs/view/senior-data-scientist-ds-ai-org-at-enexus-global-inc-4162655708,LinkedIn
Data Scientist - Connected TV (CTV),Google,United States,"[""Master's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field."", '5 years of work experience with analysis applications (e.g., extracting insights, performing statistical analysis, or solving business problems), and coding (e.g., Python, R, SQL).']","[""Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field."", ""5 years of work experience with analysis applications (extracting insights, performing statistical analysis, or solving business problems), and coding (Python, R, SQL) (or 2 years work experience plus a Master's degree)."", '2 years of experience working with Marketing Mix Models.', 'Experience with matched market testing, A/B Testing, Geo Experiments, user-ablation studies, basic statistics, and regression analysis.']",https://www.linkedin.com/jobs/view/data-scientist-connected-tv-roi-measurement-at-google-4183430673,LinkedIn
Data Scientist,Slope,Not specified,"['Master’s or Ph.D. in Quantitative Finance, Statistics, Computer Science, Mathematics, Economics, or related field', 'Experienced with machine learning concept and risk modeling techniques such as regression, decision trees and boosting; experience with building data products using LLM is strongly preferred', 'Strong skill set with Python (including sklearn, pandas, numpy, etc.) and SQL', 'Experience with consumer / small business lending and payments risk management (credit and/or fraud); knowledge of using alternative data sources for underwriting, such as e-commerce and accounting data, is strongly preferred', 'Excellent written and verbal communication skills; ability to clearly explain data science work and collaborate with stakeholders to execute']","['5+ years experience in advanced statistical modeling with strong technical skills, preferably in both model development and deployment', 'Strong skill set with Python (including sklearn, pandas, numpy, etc.) and SQL', 'Attention to detail, strong work ethic, and a relentless drive; enjoy a fast-paced and results-driven culture', 'Excel and enjoy a collaborative and in-person workplace', 'Comfortable with handling ambiguity and creating processes from scratch. We are growing fast and still learning', 'A demonstrated ability to get stuff done. In an ideal world, you’ve worked in a fast-growing company and know what we should be doing today, in one year, and in two years', 'Self-directed and able to work with minimal supervision', 'Iterative mindset']",https://www.linkedin.com/jobs/view/data-scientist-at-slope-4176192563,LinkedIn
Machine Learning Engineer (Open-Endedness),Flagship Pioneering,Lila Sciences,"['Designing data pipelines for machine learning on multi-node GPU clusters', 'Training large language models including domain adaptation and retrieval-augmented generation (RAG) as part of an agentic framework', 'Implementing robust evaluation frameworks, including custom benchmarks, to rigorously test model performance and reliability', 'Integrating ML solutions into production environments']","['Master’s or PhD degree in a quantitative field (e.g., Computer Science, Machine Learning, Statistics, Physics, Mathematics) or equivalent industry experience', 'Strong background in deep learning frameworks (e.g., PyTorch, TensorFlow, JAX)', 'Experience with distributed computing platforms (AWS, GCP, Azure, or on-prem clusters)', 'Git/GitHub Experience', 'CI/CD Platform Experience (Jenkins, GitHub Actions, Azure DevOps, etc.)']",https://www.linkedin.com/jobs/view/machine-learning-engineers-open-endedness-open-level-at-flagship-pioneering-4172904995,LinkedIn
Machine Learning Engineer,Attain,Not specified,['Experience with cloud computing services or platform (GCP preferred)'],"['4+ years of hands-on experience building and deploying machine learning models', 'Strong expertise in developing and deploying offline and online machine learning services in production', 'Solid understanding of machine learning software and infrastructure development', 'Proficiency in Python', 'Strong SQL skills', 'Familiarity with version control and peer code review systems', 'Demonstrated ability to learn and embrace new technologies, applications, and approaches', 'Willingness to roll up your sleeves and sometimes wear multiple hats across the data science team, depending on the needs of the business', 'Strong written and verbal communication skills and the ability to explain technical topics to both technical and non-technical audiences']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-attain-4181413660,LinkedIn
ML Engineer,Hedra,NYC or SF,"['Experience with cloud computing platforms such as Amazon Web Services, Google Cloud, or Microsoft Azure', 'Knowledge of containerization tools like Dockerfile and orchestration tools like Kubeflow', 'Understanding of distributed training techniques and how to scale models across multiple GPUs or machines', 'Proficiency in scripting languages like Python or Bash for automation tasks']","['Bachelor’s degree in Computer Science, Information Technology, or a related field, with a focus on system administration', 'Experience with cloud computing platforms such as Amazon Web Services, Google Cloud, or Microsoft Azure', 'Knowledge of containerization tools like Dockerfile and orchestration tools like Kubeflow', 'Understanding of distributed training techniques and how to scale models across multiple GPUs or machines', 'Proficiency in scripting languages like Python or Bash for automation tasks', 'Strong problem-solving and communication skills']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-hedra-4183844909,LinkedIn
ML Engineer - Neuroscience,Eon Systems PBC,Eon,"['Experience with image and video transformer models', 'Expertise in training multimodal models and experimenting with novel architectures', 'Experience with applying machine learning techniques to neuroscientific datasets', 'Previous work on scaling laws for modalities']","['Demonstrated exceptional ability (3-5+ years) in ML engineering, particularly with PyTorch, including hands-on experience with training and fine-tuning transformer-based machine learning models', 'Demonstrated capability in developing production-level machine learning systems']",https://www.linkedin.com/jobs/view/research-engineer-machine-learning-ml-at-eon-systems-pbc-4184624541,LinkedIn
Data Scientist,Tubi,"California, New York City, Westchester County, NY, and Seattle, WA","['Expertise in A/B testing, experimental design, and causal inference in a technology-driven environment', 'Experience with product analytics and working with event-level data', 'Video streaming industry experience is a plus']","['5+ years of work experience in analytics and SQL, Python, Spark, or R', 'Strong analytical skills with the ability to extract insights from large datasets using statistical methods', 'Excellent communication and presentation skills, with the ability to convey complex findings to non-technical stakeholders']",https://www.linkedin.com/jobs/view/data-scientist-at-tubi-4157964393,LinkedIn
Data Analyst,Slope,YC startup,"['Experience with consumer / small business lending and B2B payments', 'Strong skill set with Python, SQL, Excel, and data visualization', 'Web scraping and hacker mindset', 'Experience with building statistical models']","['2+ years experience in data analytics or data science', 'Bachelor’s in Quantitative Finance, Statistics, Economics, Mathematics or related fields', 'Excellent written and verbal communication skills', 'Attention to detail and strong work ethic', 'Ability to work in a fast-paced and results-driven culture', 'Self-directed and able to work with minimal supervision']",https://www.linkedin.com/jobs/view/data-scientist-growth-at-slope-4105129647,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '4+ years of work experience in analytics, data querying languages such as SQL, scripting languages such as Python, and/or statistical mathematical software such as R (minimum of 2 years with a Ph.D.)', '4+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120824512,LinkedIn
ML Solutions Engineer,SuperAnnotate,Partial remote working,"[""Master's degree in Computer Science, Machine Learning, Data Science, or other technically related fields"", '1+ years of experience as a technical solutions or sales engineer in a tech environment or a customer-facing role within a Professional Services/Systems Engineering team', 'Experience building Machine learning solutions (e.g., data pipelines, AI systems, LLMs, MLOps, etc.)']","['1+ years of customer-facing experience', 'Familiarity with Machine learning and Python', 'Experience delivering technical pitches', ""Bachelor's degree in Computer Science, Mathematics, Machine Learning, Data Science, or equivalent experience"", 'Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the Artificial Intelligence technology space', 'Outstanding English writing and verbal skills', 'Good communication skills and Good presentation skills']",https://www.linkedin.com/jobs/view/ml-solutions-engineer-at-superannotate-4172502560,LinkedIn
Data Scientist - Financial Forecasting,Brex,San Francisco,"['Experience building and maintaining financial forecasting models with a high degree of accuracy', 'Experience working in businesses with blended revenue models that include both recurring and consumption-based components']","[""Master's degree or Ph.D. in Finance, Statistics, Economics or a related quantitative field"", '5+ years of experience in a data science or related role supporting finance teams', 'Expertise in predictive modeling, causal inference, and time series forecasting', 'Knowledge of structural finance models, financial planning and analysis (FP&A) workflows and reporting, plus experience working with key performance indicators like LTV, CAC, and ARR', 'Proficiency in SQL and Python (or R) for data analysis and modeling', 'Ability to translate complex analyses into strategic recommendations for Finance and business leadership', 'Familiarity with BI tools (e.g., Tableau, Looker) and financial data sources', 'Excellent problem-solving skills and the ability to work independently in a fast-paced environment', 'Strong communication skills, with the ability to work cross-functionally']",https://www.linkedin.com/jobs/view/senior-data-scientist-finance-at-brex-4172594770,LinkedIn
Analytics Research Lead,Mixpanel,"Mixpanel, US","['Masters degree or greater preferred', 'Scripting ability in Python (preferred), R, or a similar language', 'Hands-on experience building and deploying statistical and/or machine learning models']","['Experience driving positive change with recommendations rooted in data analysis and quantitative research', 'Advanced SQL proficiency', 'Familiarity with cloud-based data warehouses, dbt, and collaborative data science notebooks', 'Experience collaborating effectively with teams and leaders in different parts of a business', 'Strong written and verbal communication skills']",https://www.linkedin.com/jobs/view/data-scientist-at-mixpanel-4181732222,LinkedIn
Staff Data Scientist focused on Business Analytics,Anyscale,Anyscale Inc.,"['BS degree in Data Science, Statistics, Information Technology, Business, Operations, or a related discipline', '8+ years of industry experience', 'Strong proficiency in data tools and technologies, such as SQL, Python, or R, and experience with data visualization platforms like Preset, Tableau, Power BI, Databricks, or Looker', 'Proven ability to design and maintain scalable data ecosystems, including data pipelines, dashboards, and key business metrics, ensuring data accuracy and integrity', 'Excellent collaboration and communication skills, with the ability to effectively partner with cross-functional teams and present insights to executive stakeholders', 'Demonstrated experience in leveraging analytics and forecasting models to drive strategic decision-making and business growth']","['BS degree in Data Science, Statistics, Information Technology, Business, Operations, or a related discipline', '8+ years of industry experience']",https://www.linkedin.com/jobs/view/staff-data-scientist-business-analytics-at-anyscale-4127796818,LinkedIn
Data Scientist,Pinterest,US based applicants only,"['Experience using machine learning and deep learning frameworks, such as PyTorch, TensorFlow or scikit-learn', 'A scientifically rigorous approach to analysis and data, and a well-tuned sense of skepticism, attention to detail and commitment to high-quality, results-oriented output']","['4+ years of experience analyzing data in a fast-paced, data-driven environment with proven ability to apply scientific methods to solve real-world problems on web-scale data', 'Extensive experience solving analytical problems using quantitative approaches including in the fields of Machine Learning, Statistical Modeling, Forecasting, Econometrics or other related fields', 'Ability to manipulate large data sets with high dimensionality and complexity; fluency in SQL (or other database languages) and a scripting language (Python or R)', 'Excellent communication skills and ability to explain learnings to both technical and non-technical partners', 'Bachelor’s degree in Computer Science, a related field or equivalent experience']",https://www.linkedin.com/jobs/view/data-scientist-at-pinterest-3965753694,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","['A minimum of 6 years of work experience in analytics (minimum of 4 years with a Ph.D.)', ""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience"", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4120824514,LinkedIn
Machine Learning Engineer,XOPS,XperiencOps Inc.,"['Ph.D. in Computer Science with expertise in Machine Learning, Graph Theory, and related fields', '5+ years of experience in designing and implementing machine learning models and algorithms, with a focus on graph analytics', 'Expertise in graph databases, Neo4j preferred, and their query languages (e.g., Cypher)', 'Proficiency in programming languages such as Python or R, as well as machine learning frameworks like TensorFlow or PyTorch', 'Strong understanding of statistical modeling and data analysis techniques', 'Experience with big data processing frameworks (e.g., Hadoop, Spark) and cloud platforms (e.g., AWS) is a plus', 'Excellent problem-solving and analytical skills', 'Ability to work on complex problems and deliver innovative solutions', 'Excellent communication and collaboration skills']","['Design, develop, and implement machine learning models and algorithms that leverage graph databases, to solve complex business problems', 'Analyze and interpret complex datasets to extract meaningful insights and patterns', 'Collaborate with cross-functional teams to define project requirements and objectives', 'Optimize and maintain graph databases, focusing on performance and data retrieval efficiency', 'Ensure the quality and reliability of machine learning models through rigorous testing and validation', 'Stay updated with the latest advancements in machine learning and graph databases and incorporate them into our products and solutions', 'Provide mentorship and guidance to junior machine learning engineers', 'Document and communicate research findings, methodologies, and results to internal and external stakeholders']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-xops-4130718464,LinkedIn
Growth Data Scientist,Notion,Notion (in person company),"['Experience working on a growth team', 'Experience at a fast-growing start-up', 'Experience at a B2B SaaS company']","['Meaningful experience as a data scientist partnering with product and engineering', 'Expertise in SQL and at least one scripting language (Python or R)', 'Knowledge of statistical inference and experimentation', 'Experience building predictive models and evaluating their effectiveness', 'Ability to transform raw data to build data sets', 'Bias for using the right tools efficiently']",https://www.linkedin.com/jobs/view/data-scientist-growth-at-notion-4143307444,LinkedIn
Product Data Scientist,Notion,San Francisco or New York City,"['Expertise in SQL and at least one scripting language (ideally Python or R)', 'Experience building predictive models and evaluating their effectiveness', 'Comfortable transforming raw data to build own data sets', 'Bias for using the right tools efficiently']","['Meaningful experience as a data scientist partnering with product and engineering teams', 'Expertise in statistical inference and experimentation', 'Ability to communicate impact of data to partner teams', 'Experience in transforming data into evidence for product decisions']",https://www.linkedin.com/jobs/view/data-scientist-product-at-notion-4034434518,LinkedIn
Data Scientist - Product Analytics,Brex,San Francisco,"['Experience working in B2B SaaS or fintech', 'Experience in developing frameworks to measure feature adoption and identifying product opportunities that drive customer lifetime value', 'Familiarity with product analytics tools (e.g., Amplitude, StatSig)']","['Master’s degree or Ph.D. in Statistics, Computer Science, Economics, or a related quantitative field', '3+ years of experience in a data science, analytics, or related role focused on product analytics', 'Strong experience with SQL and Python (or R) for data analysis and modeling', 'Proficiency in A/B testing methodologies, causal inference, and predictive modeling', 'Ability to translate complex data insights into strategic business recommendations', 'Familiarity with BI tools (e.g., Tableau, Looker) and data visualization best practices', 'Strong problem-solving skills and the ability to work in a fast-paced, cross-functional environment']",https://www.linkedin.com/jobs/view/data-scientist-ii-at-brex-4190721224,LinkedIn
"Data Scientist II, Credit",Brex,San Francisco,"['Experience working in B2B SaaS or fintech, particularly in a lending environment.', 'Familiarity with risk-based pricing models and financial modeling techniques.', 'Experience working with credit decisioning systems and automated underwriting workflows.', 'Knowledge of regulatory frameworks such as CECL, Basel II/III, or stress testing methodologies.']","['Master’s degree or Ph.D. in Statistics, Economics, Finance, Computer Science, or a related quantitative field.', '3+ years of experience in credit risk analytics, underwriting strategy, or related data science roles in lending or financial services.', 'Strong experience with SQL and Python (or R) for data analysis and modeling.', 'Proficiency in credit risk modeling techniques, including logistic regression, scorecard development, and loss forecasting.', 'Familiarity with credit bureau data, alternative data sources, and regulatory risk considerations.', 'Ability to synthesize complex analyses into actionable business insights and communicate findings to stakeholders.', 'Experience with experimentation and causal inference methodologies.']",https://www.linkedin.com/jobs/view/data-scientist-ii-credit-at-brex-4190719240,LinkedIn
AI/ML Engineer,Ikigai,Ikigai Labs,"[""Master's degree in Computer Science, Math, Engineering, or related field"", 'Experience with big data and distributed computing (Hadoop, MapReduce, Spark, Storm)', 'Experience with Kubernetes and/or EKS', 'Proficiency in Python, AWS services, and ETL/ELT pipelines']","['Bachelor’s degree in Computer Science, Math, Engineering, or related field with 2+ years of experience', 'Strong understanding of data structures, data modeling, algorithms, and software architecture', 'Proficient in probability, statistics, and algorithm development', 'Hands-on experience with ML and deep learning libraries (Scikit Learn, Keras, TensorFlow, PyTorch, Theano, DyLib)', 'Understanding of key software design principles, design patterns, and testing best practices', 'Ability to learn quickly in a fast-paced, agile environment', 'Excellent organizational, time management, and communication skills', 'Willingness to engage in pair programming, share knowledge, and provide and receive constructive feedback', 'Strong problem-solving skills and the ability to take initiative']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ikigai-4184821866,LinkedIn
Data Scientist - Community Health,Twitch,"San Francisco, CA","['MS/MA or higher in Analytics, Data Science, Computer Science, Mathematics, or a related technical field', 'Experience in a data science team working on customer software products, analytics, and insights', 'Experience working with software development and operational event data', 'Familiarity with Twitch, either as a viewer or creator (or both!)']","['BA/BS in Analytics, Data Science, Computer Science, Mathematics, or equivalent industry experience', '3+ years of experience as a data scientist or data analyst in a high velocity, data-driven environment', '3+ years of machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance experience', 'Expert SQL skills and proficiency in Python/R', 'Experience using data to create insight, drive business decisions and influence leadership']",https://www.linkedin.com/jobs/view/data-scientist-analytics-at-twitch-4102587824,LinkedIn
Data Scientist - Content Safety Platform,Google,United States,"['2 years of work experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis.', 'Familiarity with approaches to evaluate the performance of machine learning classifiers and familiarity with explainable AI techniques.', 'Ability to translate the business objectives in a content classification problem to an evaluation methodology.']","[""Master's degree in Statistics, Mathematics, Physics, Economics, Operations Research, Engineering, or a related quantitative field."", 'Experience in Artificial Intelligence or Machine Learning.', 'Experience coding in Python.']",https://www.linkedin.com/jobs/view/data-scientist-content-safety-platform-at-google-4183425950,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"['Experience in collaborating with individuals and organizations', 'Experience working with large scale dataset', 'Internship experience in solving analytical problems using quantitative approaches']","[""Currently has or is pursuing a Bachelor's and/or Master’s degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta."", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', 'Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment', ""Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.""]",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4187595834,LinkedIn
Machine Learning Engineer,Quantcast,San Francisco,"['Fluency in Python, Java or similar programming languages.', 'Strong skills in mathematics and statistics.', 'Working knowledge of ML algorithms such as classification, control systems, optimization, clustering, LLMs or recommendation systems.', 'An interest in distributed system and software design, concurrent algorithms, data structures, and software engineering.']",['1-3 years of experience'],https://www.linkedin.com/jobs/view/machine-learning-engineer-at-quantcast-4187027078,LinkedIn
Senior Data Scientist - Pricing Team,Lyft,San Francisco,"['Ph.D. in Operations Research or other quantitative fields', '2+ years professional experience in technology companies', 'Proven experience with building and evaluating optimization models', 'Proficiency with Python and working in a production coding environment', 'Passion for solving unstructured and non-standard mathematical problems', 'End-to-end experience with data, including querying, aggregation, analysis, and visualization', 'Strong oral and written communication skills']","['Ph.D. in Operations Research or other quantitative fields or related work experience', '2+ years professional experience in technology companies', 'Proven experience with building and evaluating optimization models', 'Proficiency with Python and working in a production coding environment', 'Passion for solving unstructured and non-standard mathematical problems', 'End-to-end experience with data, including querying, aggregation, analysis, and visualization', 'Strong oral and written communication skills, and ability to collaborate and communicate with others to solve a problem']",https://www.linkedin.com/jobs/view/data-scientist-algorithms-pricing-at-lyft-4149935409,LinkedIn
"Senior Data Scientist, Product Analytics",Handshake,"San Francisco, with offices in New York, London, and Berlin","['Experience informing product roadmaps', 'Data modeling (we use dbt!)']","['Proven experience in using data to drive product development and decision-making and direct experience working with engineers and wider product teams', 'Strong communication and presentation skills, including the ability to translate data-related concepts and results for leadership and less technical stakeholders', 'Experience conducting exploratory analysis projects related to cohorting, time series analysis, and funnel analysis/optimization. Beyond just reporting metrics, we value the ability to dig in an explain the “why” behind trends', 'A clear understanding and demonstrable experience in experimentation design and process development, including comfort with A/B testing', 'Expertise in SQL is essential and comfort with Jupyter-style notebooks and Python or R statistics packages is a huge plus.', 'Experience creating dashboards and visualizations in tools such as Hex, Looker, Mode, etc.', 'Ability to start, own, and drive projects to completion with minimal guidance']",https://www.linkedin.com/jobs/view/senior-data-scientist-product-analytics-at-handshake-4096784817,LinkedIn
Machine Learning Researchers (Open-Endedness),Flagship Pioneering,Lila Sciences,"['PhD in quantitative disciplines ideal, but will consider self-taught researchers with exceptional achievements', 'Publications in relevant conferences, such as NeurIPS, ICML, AAAI, ICLR, GECCO, ICCC', 'Expertise in ML frameworks (PyTorch/TensorFlow/Jax); and/or QD algorithm implementation; and/or neuroevolution algorithm implementation', 'Experience in training and deploying ML models on distributed computing services (g. AWS/GCP/Azure, or clusters)']","['Designing, implementing, and modifying generative models through unconventional pipelines to achieve unconventional behaviors', 'Unconventional evaluation techniques, including subjective evaluation and the evaluation of interestingness', 'Creative approaches to investigating, understanding, and visualizing the internal representations of large models', 'Quality diversity (QD) algorithms implementation']",https://www.linkedin.com/jobs/view/machine-learning-researchers-open-endedness-open-level-at-flagship-pioneering-4172905983,LinkedIn
Backend Engineer with Machine Learning Expertise,Kino AI,San Francisco,"['Experience with video processing pipelines or computer vision systems', 'Experience in React', 'Familiarity with GPU infrastructure and optimization (CUDA!)', 'Knowledge of media formats, codecs, and streaming protocols', 'Experience with LLMs, LLM-based retrieval, and LLM evals', 'Strong work with the OpenAI/Anthropic/Gemini APIs', 'Comfort with any of the major cloud providers: Azure, GCP, AWS, etc.', 'Background in search systems or information retrieval']","['3+ years of backend engineering and machine learning experience', 'Demonstrated expertise in Python', 'Building and deploying services using Docker and Docker Compose', 'Writing and optimizing complex SQL queries', 'Experience benchmarking and profiling API endpoints', 'Implementing robust monitoring, logging, and error handling', 'Proficiency in Python and experience with Pytorch or JAX', 'Comfort with large amounts of data (e.g., terabytes of video)', 'Comfort with web development', 'Ability to rapidly iterate on ideas and evaluate new approaches']",https://www.linkedin.com/jobs/view/backend-%2B-ml-engineer-at-kino-ai-4153684130,LinkedIn
Data Science Analyst - YouTube Search Verticals,Google,United States,"['5 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree.', 'PhD degree in Statistics, Data Science, Machine Learning, or, Physics, or, 3 years of work experience.']","[""Master's degree in Statistics, Data Science, Mathematics, Physics, Economics, Operations Research, Engineering, or a related quantitative field."", '3 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree.']",https://www.linkedin.com/jobs/view/research-data-scientist-youtube-search-at-google-4184342707,LinkedIn
Applied Data Scientist,Comulate,San Francisco,"['3+ years experience leveraging data-driven analysis and predictive modeling to drive key business decisions', 'Proficiency with SQL and relational databases', 'Contributed to predictive systems in a production environment', 'Excellent written and verbal communication skills; ability to clearly explain your work and collaborate with stakeholders', 'Comfortable with handling ambiguity and working in a self-directed manner', 'Curiosity about different industries and the data + business context within them']",[],https://www.linkedin.com/jobs/view/applied-data-scientist-at-comulate-4189607208,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","['A minimum of 6 years of work experience in analytics (minimum of 4 years with a Ph.D.)', ""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience"", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4181335965,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '2+ years of work experience in analytics and data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', '2+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4152204588,LinkedIn
ML Engineer,Navier AI,San Francisco,"['Familiarity with PyTorch', 'Experience with transformer architectures', 'Expertise in deep learning for scientific computing', 'Proficiency in Python and scientific computing libraries', 'Experience in model designing', 'Familiarity with neural operators, PINNs, and INRs', 'Background in physics or computational engineering', 'Experience with large-scale model training and optimization', 'Open-source contributions to major projects', 'Published research in ML for physics/engineering']",[],https://www.linkedin.com/jobs/view/ml-engineer-at-navier-ai-4136724492,LinkedIn
ML Engineer,Wispr Flow,Wispr Flow,"['Deep understanding of LLMs and transformer-based architectures', 'Experience in ML inference, multi-modal models, RL / DPO, fine-tuning, audio, async programming, low-level systems, data pipelines', 'Published seminal research / have a PhD', 'Large-scale and high-load production systems', 'Implementation of advanced methods for efficient fine-tuning', 'Maintaining or contributing to open-source ML projects', 'Managing machine learning workloads on Kubernetes clusters']","['Expertise in Python (2+ years)', 'Experience with ML / scientific frameworks: TensorFlow, Keras, Numpy, Scipy, Pandas', 'Love to build (no academic degree requirements)']",https://www.linkedin.com/jobs/view/ml-engineer-at-wispr-flow-4174763066,LinkedIn
